Agency,Agency Name,Station Name,Line,Artist First Name,Artist Last Name,Art Title,Art Date,Art Material,Art Description,Art Image Link
LIRR,Long Island Rail Road,Huntington,Port Jefferson Branch,Joe,Zucker,"For My Grandfather Noye Pride, a Locomotive Engineer",1998,Faceted glass in windscreen,"At Huntington, Joe Zucker's 130-foot fantasy train chugs animatedly down the platform while serving as a windscreen.  Each faceted glass panel shows a cartoon-like flatcar hauling Long Island wares and sights, one to a car.  We see an oversized lobster, giant duck, jumbo potatoes, and a big bluefish.  Other images are the  Montauk lighthouse and a sailboat.  Zucker's fanciful images - the bluefish is green, the potato is blue - are rendered in faceted glass, equally powerful day and night.  Says Zucker; I hope that this piece brings travelers enjoyment, that it gives them memories and of Long Island and moments of pleasure.  As the title indicates, members of the artist's family were employed on the railroad:  It is in memory of my grandfather and uncles who served as engineers and firemen on the trains of a distant past.",http://web.mta.info/mta/aft/permanentart/permart.html?agency=lirr&line=portjeffersonbranch&artist=1&station=3
MNR,Metro-North Railroad,Grand Central Terminal,Grand Central Terminal,Ellen,Driscoll,"As Above, So Below",1998,"Glass, bronze, and mosaic in Grand Central North passageway","The historic ceiling in the main concourse at Grand Central Terminal reveals the night sky with golden stars that form the constellations.  Grand Central becomes a metaphor for our connection with the wider world beyond New York City and {As Above, So Below} takes the viewer around the world to the night sky above five different continents, representing myths, civilization, heavens, and the underworld.  These scenes bring to life ancient tales that demonstrate how the stories told about the heavens reflect the way we live on earth.  A close look  at any of the faces in the work reveal their diversity,  as indeed, the people in these mosaics represent many different backgrounds.  However, the artist has altered them to take on the attributes of mythical figures.  The work summons the everlasting and the ephemeral, reminding us of our spiritual and worldly past while we hurry through the station.",http://web.mta.info/mta/aft/permanentart/permart.html?agency=mnr&line=grandcentralterminal&artist=1&station=1
LIRR,Long Island Rail Road,Broadway Station,Port Washington Branch,Jean,Shin,Celadon Remnants,2008,Ceramic and glass mosaic on south stair walls and station building,"Motorists, pedestrians, and commuters are the beneficiaries of the eloquent beauty of {Celadon Remnants} at the LIRR's Broadway Station in Flushing, Queens. *Using celadon fragments, artist Jean Shin created large-scale mosaic murals that feature the shapes and silhouettes of pottery.  The mosaics are installed on the south stair walls (facing Northern Boulevard) and in architectural niches in the station building.  The vessel or teapot forms were created from thousands of celadon fragments, hand-selected and donated by the city of Icheon, South Korea. The grayish-green forms against a white tile background create an abstract interplay between the positive and negative colored shapes. The aesthetic appeal of celadon lies in its eloquent beauty and simplicity.  Derived from ancient China and perfected in Korea, celadon wares are among the most widely admired of Korean ceramics. *If a vessel is imperfect, it becomes scrap and there are mountains of fragments in the Icheon region of Korean.  Shin was determined to use these cast-off fragments, and the artwork serves as a metaphor for the history, culture, and identity of the Asian population in Queens. For Shin, the thriving Asian-American communities neighboring the Broadway Station bear resemblance to the {Celadon Remnants} - as each are transformed in a new location in a distinctively new form while preserving their cultural heritage.",http://web.mta.info/mta/aft/permanentart/permart.html?agency=lirr&line=portwashingtonbranch&artist=1&station=1
LIRR,Long Island Rail Road,Bayside Station,Port Washington Branch,Ed,McGowin,Bayside Story,1999,Bronze relief columns and frieze on overpass,"{Bayside Story} features spiral friezes that wrap around the support columns, bearing animal and floral motifs as well as bronze reliefs that celebrate local history and culture.   Indians paddling a canoe have a central position in the work.  Around them are a settler's homestead, a Revolutionary war soldier, a farm, and Fort Totten.  Boxer Gentleman Jim Corbett represents local heroes; a yacht and checkered flag portray local amusements.  Once home to the Native American Matinecocks, in the late 1800s, the wealthy built estates in Bayside.  In the early 1900's, the community was the home to stars of the silver screen. *Commenting on the artwork, Ed McGowin, stated, Community history can so easily be lost or forgotten...I consulted with the Bayside Historical Society and the community to choose significant local events and people....  The compelling result proudly tells the story of Bayside.",http://web.mta.info/mta/aft/permanentart/permart.html?agency=lirr&line=portwashingtonbranch&artist=1&station=2
LIRR,Long Island Rail Road,Great Neck,Port Washington Branch,David,Saunders,Conductor's Watch and Key Chain,1992,Aluminum sculpture on platform wall,"To symbolize the romance and excitement of train travel's rich history, all under watchful eye of the train conductor, David Saunders immortalized the conductor's watch and key chain.  Made of aluminum tubing to echo the handrails and silver pipes that run along the walls of the station platform, the sculpture blends into the overall design of the site. The chain mimics the movement of the Long Island Rail Road's long silver trains that take commuters to and from their destinations, says Saunders, those speedy back and forth movements are echoed in the long swooping gestures of the sculpture's silver lines.",http://web.mta.info/mta/aft/permanentart/permart.html?agency=lirr&line=portwashingtonbranch&artist=1&station=3
LIRR,Long Island Rail Road,Ronkonkoma,Ronkonkoma Branch,Alice,Adams,Planting (dedicated to Long Island Tree Farmers),1995,"Paving, planting, seating, curving brick walls, and cast concrete tree balls with cast aluminum rope inserts","{Planting} is composed of a planters and trees, with paving, plantings, and curved brick walls that define the space.  The artist intent was to create an ensemble of functional and sculptural forms that is unique and specific to the region and together with the architectural structures makes a place that is memorable.  Working with landscape architects, Adams had trees planted in rows within islands created by brick walls and placed tree ball concrete planters in the paved areas.  The trees salute the importance of the nursery business and tree farming to Long Island's growth.  To suggest tree balls and allow the planting of the trees, Adams designed a pre-cast concrete ring with metal support elements in the form of ropes that extend upward.  Adams worked to reflect the station's design; the curved dormers of the station building are echoed in the curved walls.  Her work articulates the placement of the buildings and platforms in relation to one another, creating a pleasant and harmonious space for those traveling through.",http://web.mta.info/mta/aft/permanentart/permart.html?agency=lirr&line=ronkonkomabranch&artist=1&station=3
LIRR,Long Island Rail Road,Greenport,Ronkonkoma Branch,Anita,Thacher,Illuminated Station,2005,Lighting and projection on station façade and roof,"{Illuminated Station} takes us to the past when Greenport, and the North Fork of Long Island, was home to farmers, fishermen, storekeepers, and railroad workers.  Today Greenport is the hub of a growing population of year-round and seasonal residents, an artists' haven and departure point for vacation spots nearby.  Anita Thacher creates evocative light-works - art whose effect is created through electrical illumination.  Here she uses numerous lighting techniques.  The stationhouse's roof is outlined with LED illumination in blue, and the areas surrounding the building are given a deeper blue light.  From inside the building comes a yellow glow suggesting candle light or gaslight.  On the station walls and roof, projected light forms images of an American Indian pictograph, emphasizing the importance of the first people to live on Long Island.  The man and canoe in the pictograph was made from a plaster cast of an Indian artifact discovered in nearby Orient.  Through each work the past meets the present and a special place in the community is made more meaningful by the artist.",http://web.mta.info/mta/aft/permanentart/permart.html?agency=lirr&line=ronkonkomabranch&artist=1&station=4
MNR,Metro-North Railroad,Crestwood,Harlem Line,Arthur,Gonzalez,The Discovery,1990,Bronze sculpture on interior overpass wall,"Arthur Gonzalez has created a monumental serial artwork with large-scale bronze figures that are located at three stations on MTA Metro-North Railroad's Harlem line.  The work uses the themes of time and travel as the central focus.   At Crestwood, the sculpture {Discovery} is a bronze figure of a girl in a boat who holds a compass with the cardinal directions, evoking themes of travel and exploration.  {(See Fleetwood and Tuckahoe for the other two works in the series.)}",http://web.mta.info/mta/aft/permanentart/permart.html?agency=mnr&line=harlemline&artist=1&station=5
MNR,Metro-North Railroad,Grand Central Terminal,Grand Central Terminal,Roberto,Juarez,A Field of Wild Flowers,1997,Mixed-media on walls of Station Master's Office,"Roberto Juarez creates a place of refreshment and repose with his lush garden landscape, designed to  appear as though it were seen through the windows of a slow-moving train.  The work is one of the more fragile pieces in the system, executed in a multi-media collage that he describes as: ...consisting of layers of gesso, under-painting, urethane, and varnish, I also utilize natural materials - rice paper and a dusting of peat moss - to give my work added texture, strength, and beauty. *{A Field of Wild Flowers} was created to be compatible with the architecture of Grand Central Terminal, and it repeats some of its historic interior details such as the representation of fruit, acorns, and garlands.  It also provides a  contemporary work of art that stands on its own, bringing a touch of serenity to the surrounding whirl of activity.",http://web.mta.info/mta/aft/permanentart/permart.html?agency=mnr&line=grandcentralterminal&artist=2&station=1
MNR,Metro-North Railroad,Grand Central Terminal,Grand Central Terminal,Donald,Lipski,Sirshasana,1998,Aluminum and polyester resin sculpture with crystals in ceiling at 43rd Street in Grand Central Market,"In {Sirshasana}, a sculptural chandelier in the shape of a golden-rooted olive tree suspended above the street-level entrance to the Grand Central Market, Donald Lipski drew upon Hindu and Greek lore.  To the ancient Greeks the olive tree symbolized freedom and purity, he explains.  And the name Sirshasana refers to a yoga headstand posture - the inverted tree ....  With branches that span twenty-five feet and 5,000 brilliant crystal pendants, the tree dominates the area, bringing the feel of an outdoor market.  The space was designed so that morning sun bathes the tree and floods the market with light.  The form has writhing, enticing, and unexpected elements, with the base of the tree finished in gold and crystals dangling in place of olives   In addition to alluding to the decorative chandeliers in Grand Central, the tree is a comment on the allure of the exotic and tempting wares sold in the marketplace.",http://web.mta.info/mta/aft/permanentart/permart.html?agency=mnr&line=grandcentralterminal&artist=3&station=1
MNR,Metro-North Railroad,Harlem - 125 Street,Harlem Line,Alison,Saar,Hear the Lone Whistle Moan,1991,Bronze grilles and reliefs on platforms,"Saar's work consists of figures standing against a grille as they wait on the north and south platforms. *The title, {Hear the Lone Whistle Moan}, is from a spiritual that uses the train as a metaphor for the passage to heaven.  Trains have often been associated by African Americans with escape and the Underground Railroad in particular.  In the words of the artist, ...these pieces...create a simple narrative of two people.  One, the young woman coming to the city in hopes of advancing her career, the other, a successful businessman leaving the city to return to his hometown.  I believe these two scenarios to be examples of how many Americans have used the railroads to and from New York throughout history.  Yet I was also addressing the specific and rich tradition of the role of the railroad in general in the lives of African Americans.  A third figure is of a conductor at the top of the platform stairs.",http://web.mta.info/mta/aft/permanentart/permart.html?agency=mnr&line=harlemline&artist=1&station=1
MNR,Metro-North Railroad,Wassaic,Harlem Line,Anne,Huibregtse,Arrival,2000,Cast bronze sculpture near stairs to platform,"{Arrival} is a bronze bas-relief of life-size dairy cows facing commuters and their trains.  I want the cows to remind both local residents and visitors of the region's rich farming past, says artist Anne Huibregtse.  The local agricultural economy may be shrinking, but it remains an important part of our community and rural landscape.  The Wassaic area had turned to dairy farming in the mid-nineteenth century - due to the conjunction of a historical event and an invention.  The event was the Civil War; the invention, the development of canned milk, in great demand by the Union army for its soldiers.  But other areas soon outpaced Wassaic in dairying, and farm after farm was turned to other uses.",http://web.mta.info/mta/aft/permanentart/permart.html?agency=mnr&line=harlemline&artist=1&station=10
MNR,Metro-North Railroad,Mount Vernon West,Harlem Line,Martha,Jackson-Jarvis,Travelin' Time,1991,Glass and ceramic mosaic sculpture on waiting room ceiling,"Martha Jackson-Jarvis has experimented with the qualities of clay, glazes, and firing methods for most of her career and she welcomes the surprise and chance occurrences that are part of working with natural materials.   In the words of the artist, Conceptually, {Travelin' Time} occupies transitional space. It is a space between points, a place of resting, of waiting, of new beginnings and departures.  Though Mount Vernon station is indeed public space, it still remains an intimate space where human scale and pace are slowed momentarily. It is a space in which we are asked to wait . . . and while waiting contemplate traveling through time and space to distances unknown, yet familiar.",http://web.mta.info/mta/aft/permanentart/permart.html?agency=mnr&line=harlemline&artist=1&station=2
MNR,Metro-North Railroad,Fleetwood,Harlem Line,Arthur,Gonzalez,Time Catcher,1990,Bronze sculpture on interior overpass wall,"Arthur Gonzalez has created a monumental serial artwork with large-scale bronze figures that are located at three stations on MTA Metro-North Railroad's Harlem line.  The work uses the themes of time and travel as the central focus.  {Time Catcher} at Fleetwood is a polychrome bronze featuring a historic map of the region and a worker with his tools, a tribute to those who built the railroad.  {(See Crestwood and Tuckahoe for the other two works in the series.)}",http://web.mta.info/mta/aft/permanentart/permart.html?agency=mnr&line=harlemline&artist=1&station=3
MNR,Metro-North Railroad,Tuckahoe,Harlem Line,Arthur,Gonzalez,The Finder / The Seekers,1990,Bronze sculpture on interior overpass wall,Arthur Gonzalez has created a monumental serial artwork with large-scale bronze figures that are located at three stations on MTA Metro-North Railroad's Harlem line.  The work uses the themes of time and travel as the central focus.  {Finder/Seekers} at Tuckahoe includes a set of sculptures that depict early settlers and explorers ringed by children's toys that echo the adventures and sense of discovery experienced by the area's early settlers.  {(See Crestwood and Fleetwood for the other two works in the series.)},http://web.mta.info/mta/aft/permanentart/permart.html?agency=mnr&line=harlemline&artist=1&station=4
NYCT,New York City Transit,233rd Street,"2,5",Skowmon,Hastanan,A Secret Garden: There's No Place Like Home,2006,Faceted glass in platform windscreens and mezzanine windows,"Through her faceted glass artwork, Skowmon Hastanan has woven nature into the station for the public to enjoy.  Reflecting the nearby New York Botanical Garden, images of fish, flowers, and greenery transform the environment, providing commuters with a beautiful, luminous scene to contemplate.  Skowmon creates a sanctuary from the chaos and stress of daily life, providing a source of energy and rejuvenation in her detailed renderings in glass.",http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=2&artist=1&station=3
MNR,Metro-North Railroad,Scarsdale,Harlem Line,Tom,Nussbaum,Travelers,1991,COR-TEN® steel sculpture on station canopies,"In his silhouetted figures at the Scarsdale and Hartsdale stations, Tom Nussbaum acknowledges those most likely to view his artwork there - commuters and railroad workers.  At the Scarsdale station a  group of flattened, iron figures appears.  They are travelers, evidenced by their carrying suitcases, bundles, and even a container balanced on a figure's head.  {Travelers} also includes three-foot figures standing along the roof line of the station canopies.  Nussbaum says, My approach to this kind of figurative work reflects an on-going interest in American folk sculpture of all kinds, especially whirligigs and weather vanes.  {(See Hartsdale for the other work in the series.)}",http://web.mta.info/mta/aft/permanentart/permart.html?agency=mnr&line=harlemline&artist=1&station=6
MNR,Metro-North Railroad,Hartsdale,Harlem Line,Tom,Nussbaum,Workers,1991,COR-TEN® steel sculpture on station canopies,"In his silhouetted figures at the Scarsdale and Hartsdale stations, Tom Nussbaum directly acknowledges -and celebrates- those most likely to view his artwork there - commuters and railroad workers.  At the Hartsdale station, twenty-one life-sized figures are placed along the center of the open space between the two train tracks.  In addition, monumentally-scaled people made of iron are seen in the station's track bed, busy working: guiding trains, keeping the track in good repair and throwing switches.  Nussbaum says, My approach to this kind of figurative work reflects an on-going interest in American folk sculpture of all kinds, especially whirligigs and weather vanes.  {(See Scarsdale for the other work in the series.)}",http://web.mta.info/mta/aft/permanentart/permart.html?agency=mnr&line=harlemline&artist=1&station=7
MNR,Metro-North Railroad,North White Plains,Harlem Line,Rolando,Briseño,At the Table,1991,Cast aluminum low-relief sculpture on platform columns,"The artwork at this station is a series of cast aluminum sculptures in low relief along the platform's columns.  The artist Rolando Briseño's unusual architectural treatment of the column capitals complement the North White Plains station's architecture while creating an eye-catching and surprising array of everyday objects that are etched into the sculptural forms as symbols.   These are completed by six black architectonic pieces that combine these symbols- which include parts of a table, fruit, hands, and other body parts, and even televisions.  I depict these symbols that we use and see every day in movement to reflect our relation to time and existence; everything, including ourselves, is made of atoms, always in movement, Briseño says.",http://web.mta.info/mta/aft/permanentart/permart.html?agency=mnr&line=harlemline&artist=1&station=8
MNR,Metro-North Railroad,Pleasantville,Harlem Line,Jane,Greengold and Kane Chanh Do,Almost Home,2002,Sculptural seating,"Twenty-two cast bronze sculptural chairs greet those who use the Pleasantville Station.  The pieces represent different types of seating and the variety of domestic décor.  They are arranged in groupings throughout the station overpass and waiting area.  Artists Kane Chanh Do and Jane Greengold, who created {Almost Home}, explain:  In this suburb of New York City, we have re-created, in bronze, chairs likely to be found in the homes of the commuters who use the station, bringing some of the comforts of home out to meet the riders, making the station almost like home, and reminding riders that they, too, are almost home.  Because the chairs look so life-like, so much like wood and upholstery fabric, they create a humorous, {trompe l'oeil} effect.  To complete the domestic setting, nearby is a bronze replica of a copy of {Reader's Digest}; for most of its history the magazine was published in Pleasantville.",http://web.mta.info/mta/aft/permanentart/permart.html?agency=mnr&line=harlemline&artist=1&station=9
MNR,Metro-North Railroad,Harlem - 125 Street,Harlem Line,Terry,Adkins,Harlem Encore,1999,Aluminum panels with ornamental back-lighting on overpass,"MTA Metro-North's two-mile Park Avenue Viaduct carries trains in and out of Grand Central Terminal.  Parts of the structure date back to the 19th century, including the landmark 125th Street railroad station, that has been restored.   The station is a busy site and an entry point to a community that is alive 24/7. *For the bridge, sculptor Terry Adkins's created {Harlem Encore} in two distinct silhouetted aluminum relief panels.  The work celebrates Harlem's past achievements and bright future.  In the polished images that flank the bridge's western façade, Adkins has memorialized the Afro-Atlantic ancestors with figures that reflect the spiritual triumph over adversity.  On the eastern side the art salutes continuity and urban life with figures seen in the midst of skyscrapers.  On both sides, sphinxes and streaming suns add strength, dignity, and timelessness.  At night, blue back lighting accentuates {Harlem Encore}'s powerful presence on the street.",http://web.mta.info/mta/aft/permanentart/permart.html?agency=mnr&line=harlemline&artist=2&station=1
MNR,Metro-North Railroad,Yankees-E. 153rd Street,Hudson Line,Ellen,Harvey,   The Home of the Stars,2009,Glass mosaic on pedestrian overpass walls,"{The Home of the Stars}, created by artist Ellen Harvey, is a large-scaled series of mosaic panels that grace the walls of the pedestrian overpass of Metro-North Railroad's new Yankees-E. 153rd Street Station at in the Bronx.*This site-specific artwork, based on a series of photographs and watercolors capturing the south-facing Bronx sky from 6:30 to 9 p.m., portrays a typically spectacular Bronx sky in April as it progresses through 11 panels from a radiant cloud-filled sky to a starlit night. The photographs were translated into glass mosaic to capture the atmospheric progression and the iridescent quality of the evening sky.*The 1,228-square-foot mosaic brings a romantic moment into an urban setting while welcoming riders to the community. Speaking about her inspiration for the new artwork, Harvey said, Everyone knows Yankee Stadium as 'the Home of the Stars' but in the busy streets of the Bronx, where the city lights drown out the sky, it's easy to forget the real stars. In this mosaic, as people walk by, the sun sets and the stars come out to welcome them.*The City of New York provided financial support to the project.",http://web.mta.info/mta/aft/permanentart/permart.html?agency=mnr&line=hudsonline&artist=1&station=1
NYCT,New York City Transit,Alabama Avenue,"J,Z",Scott,Redden,Untitled,2007,Faceted glass in platform windscreens,"Images of rural America evoke a nostalgia past in Scott Redden's tranquil counterpoint to the bustle of a city at the Alabama Avenue platform.  The colorful glass windows take the commuter on a visual journey through idealized landscapes with blue trees, red barns, and roosters, and even an archetypal yellow truck traveling a country road.",http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=J&artist=1&station=7
MNR,Metro-North Railroad,Cortlandt,Hudson Line,Robert,Taplin,Three Statues (A Short History of the Lower Hudson Valley),1996,Bronze sculpture on exterior grounds (traffic island) of station house,"Outside the Cortlandt Station, Robert Taplin's {Three Statues (A Short History of the Lower Hudson Valley)} might be taken for apparitions from the area's storied past.  The bronze sculptures are of a Native American rendered in earth tones; is a prosperous Dutch landowner of the seventeenth or eighteenth century in gray, and is a laborer, perhaps from the nineteenth century in dull reddish hues.  Taplin says, Each figure presents a moment in the history of this place.  Collectively, they symbolize the sweeping changes the surrounding area has experienced over the past three centuries.  The artist designed {Three Statues}, each seven feet tall, to be cast in bronze and then patinated to give the effect of varied surfaces and colors.  They stand on a knoll, atop a platform, gazing at a representation of the Hudson River in front of them.",http://web.mta.info/mta/aft/permanentart/permart.html?agency=mnr&line=hudsonline&artist=1&station=10
