Accession,Artwork Title,Artist_Lastname,Artist_FirstName,Medium,Artwork Year,Dimension,BLDGID,School Name,Borough
"11,206","""EDUCATION-ASPIRATION""",LUX,GWEN,BRONZE,01/01/1954 12:00:00 AM,,K470,GEORGE W. WINGATE HS - K,BROOKLYN
"11,206","""EDUCATION-ASPIRATION""",LUX,GWEN,"STEEL, PAINTED",01/01/1954 12:00:00 AM,,K470,GEORGE W. WINGATE HS - K,BROOKLYN
"11,207",GEMINI,CAVALLARO,VINCENT,"BRONZE, CAST",01/01/1969 12:00:00 AM,,K540,JOHN DEWEY HS - K,BROOKLYN
"11,210",UNTITLED,BROWN,DAVID,"STEEL, STAINLESS",01/01/1974 12:00:00 AM,,K384,P.S. 384 - BROOKLYN,BROOKLYN
"11,211",BASEBALL AND JUMPROPE,NELSON,HELEN,PLASTER CAST,01/01/1938 12:00:00 AM,,K232,I.S. 232 - BROOKLYN,BROOKLYN
"11,212",COL. DAVID MARCUS,ROSENTHAL,WILLIAM,BRONZE,01/01/1958 12:00:00 AM,,K263,P.S./I.S. 323 - BROOKLYN,BROOKLYN
"11,213",UNTITLED,WILLIAMS,TODD,"STEEL, STAINLESS",01/01/1975 12:00:00 AM,,K455,BOYS & GIRLS HS - K,BROOKLYN
"11,214",MOTIVATION,WINTER,LUMEN,MARBLE,01/01/1969 12:00:00 AM,,K515,SOUTH SHORE HS - K,BROOKLYN
"11,215",ASCENT,WINTER,LUMEN,MARBLE,01/01/1970 12:00:00 AM,,K515,SOUTH SHORE HS - K,BROOKLYN
"11,217",MAN & SPACE,MENCONI,RALPH,BRASS,01/01/1966 12:00:00 AM,,K005,P.S. 5 - BROOKLYN,BROOKLYN
"11,217",MAN & SPACE,MENCONI,RALPH,EPOXY CAST,01/01/1966 12:00:00 AM,,K005,P.S. 5 - BROOKLYN,BROOKLYN
"11,217",MAN & SPACE,MENCONI,RALPH,FIBERGLASS,01/01/1966 12:00:00 AM,,K005,P.S. 5 - BROOKLYN,BROOKLYN
"11,218",MIDDLE PASSAGE,WILSON,ED,CONCRETE,01/01/1976 12:00:00 AM,,K455,BOYS & GIRLS HS - K,BROOKLYN
"11,218",MIDDLE PASSAGE,WILSON,ED,BRONZE,01/01/1976 12:00:00 AM,,K455,BOYS & GIRLS HS - K,BROOKLYN
"11,219","""EDUCATION""",SPAMPINATO,CLEMENTE,"ALUMINUM, CAST",01/01/1961 12:00:00 AM,,K224,P.S. 224 - BROOKLYN,BROOKLYN
"11,221",UNTITLED,LEFKOW,JOHN,"BRONZE, SHEET",01/01/1976 12:00:00 AM,,K391,I.S. 391 - BROOKLYN,BROOKLYN
"11,300",ATHLETICS,BROWN,JUDITH,BRASS,,,R455,TOTTENVILLE HS - S. I.,STATEN ISLAND
"11,300",ATHLETICS,BROWN,JUDITH,STEEL,,,R455,TOTTENVILLE HS - S. I.,STATEN ISLAND
"11,300",ATHLETICS,BROWN,JUDITH,"COPPER, HAMMERED",,,R455,TOTTENVILLE HS - S. I.,STATEN ISLAND
"11,301",ACADEMIC ACHIEVEMENT,NIVOLA,COSTANTINO,"CONCRETE, PRECAST",,,R455,TOTTENVILLE HS - S. I.,STATEN ISLAND
"11,302",SYNTHESIS OF ACADEMIC AND VOCATN'L ENDEAVORS,NIVOLA,COSTANTINO,"CONCRETE, PRECAST",01/01/1970 12:00:00 AM,,R455,TOTTENVILLE HS - S. I.,STATEN ISLAND
"11,303","""DRAMATIC ARTS""",BONEVARDI,MARCELO,"CONCRETE, PRECAST",01/01/1972 12:00:00 AM,,R455,TOTTENVILLE HS - S. I.,STATEN ISLAND
"11,400",THE BOY COLUMBUS,MONTEVERDE,GIULIO,MARBLE,,,Q801,OSSS / DSF - QUEENS,QUEENS
"11,555",DREAMING OF FAR AWAY PLACES:  THE SHIPS COME TO WASHINGTON MARKET,DENNIS,DONNA,"STEEL, PAINTED",01/01/1988 12:00:00 AM,,M234,P.S. 234 - MANHATTAN,MANHATTAN
"21,663",DESTINATIONS,SMYTH,NED,MARBLE,01/01/2002 12:00:00 AM,,K156,P.S. 156 - BROOKLYN,BROOKLYN
"21,663",DESTINATIONS,SMYTH,NED,GLASS,01/01/2002 12:00:00 AM,,K156,P.S. 156 - BROOKLYN,BROOKLYN
"10,006",NATURAL IMPUMENTS,SPICER,KATHLEEN,"ALUMINUM, CAST",01/01/2002 12:00:00 AM,,Q028,P.S. 28 (ECC) - QUEENS,QUEENS
"10,006",NATURAL IMPUMENTS,SPICER,KATHLEEN,WOOD,01/01/2002 12:00:00 AM,,Q028,P.S. 28 (ECC) - QUEENS,QUEENS
"11,556",UNTITLED,NIVOLA,COSTANTINO,"CONCRETE, PRECAST",01/01/1968 12:00:00 AM,,K345,P.S. 345 - BROOKLYN,BROOKLYN
"11,557",UNTITLED,NIVOLA,COSTANTINO,"TERRA COTTA, GLAZED",01/01/1961 12:00:00 AM,,K113,I.S. 113 - BROOKLYN,BROOKLYN
"11,558","""HORSES""",NIVOLA,COSTANTINO,CONCRETE,01/01/1960 12:00:00 AM,,K046,P.S. 46 - BROOKLYN,BROOKLYN
"11,560",UNTITLED,LO MEDICO,THOMAS,"ALUMINUM, CAST",01/01/1967 12:00:00 AM,,K328,P.S. 328 - BROOKLYN,BROOKLYN
"11,561",UNTITLED,POWELL,FRED,"ALUMINUM, CAST",01/01/1958 12:00:00 AM,,K270,P.S. 270 - BROOKLYN,BROOKLYN
"11,562","""OPEN WIDE THE MIND'S CAGE DOOR; (SEE NOTES)",TERKEN,JOHN,"ALUMINUM, CAST",01/01/1958 12:00:00 AM,,K011,P.S. 11 - BROOKLYN,BROOKLYN
"11,564","""MUSIC""",HENN,RUDOLF,TERRA COTTA,01/01/1939 12:00:00 AM,,K420,FRANKLIN K. LANE HS - K,BROOKLYN
"11,565","""CHEMISTRY""",TURNER,RAYMOND,TERRA COTTA,01/01/1939 12:00:00 AM,,K420,FRANKLIN K. LANE HS - K,BROOKLYN
"11,566","""WINTER GAMES"" ""SUMMER GAMES""",TOOR,N.,PLASTER,01/01/1937 12:00:00 AM,,K743,ADULT LRNG CTR (OLD GRLS HS) - K,BROOKLYN
"11,567","""UNTITLED""",HAVANNES,JOHN,"BRONZE, CAST",01/01/1955 12:00:00 AM,,K026,P.S. 26 - BROOKLYN,BROOKLYN
"11,568","""GROWTH""",KAZ,NATHANEL,"BRONZE, CAST",01/01/1959 12:00:00 AM,,K059,P.S. 59 - BROOKLYN,BROOKLYN
"11,569",UNTITLED,MARANTZ,IRVING,"BRONZE, CAST",01/01/1970 12:00:00 AM,,K302,I.S. 302 - BROOKLYN,BROOKLYN
"11,570",UNTITLED,TINCH,ROBERT,"ALUMINUM, PAINTED, ENAMEL",01/01/1975 12:00:00 AM,,K013,P.S. 13 - BROOKLYN,BROOKLYN
"11,571",UNTITLED,TINCH,ROBERT,"ALUMINUM, PAINTED, ENAMEL",01/01/1975 12:00:00 AM,,K013,P.S. 13 - BROOKLYN,BROOKLYN
"11,572","""BAYARD RUSTIN""",SARASON,FRANCES,BRONZE,01/01/1988 12:00:00 AM,,M440,BAYARD RUSTIN EDUCATIONAL COMP-M,MANHATTAN
"11,573","""MUSIC AND DANCE"", ""SONG, DRAMA, LITERATURE""",WALTER,JOSEPH,PLASTER CAST,,,K440,PROSPECT HEIGHTS HS - K,BROOKLYN
"11,576",ART AND SCIENCE,MUNDHENK,OSCAR,PLASTER CAST,01/01/1934 12:00:00 AM,,M088,I.S. 88 - MANHATTAN,MANHATTAN
"11,577",DR. BAILEY K. ASHFORD (1873-1934),DANGERFIELD,MARJORIE,BRONZE,01/01/1957 12:00:00 AM,,K287,P.S. 287 - BROOKLYN,BROOKLYN
"11,579",UNTITLED,CAVALLARO,VINCENT,CAST STONE,01/01/1965 12:00:00 AM,,K023,P.S. 23 - BROOKLYN,BROOKLYN
"11,580",UNTITLED,CHOATE,NATHANIEL,"STEEL, GALVANIZED",,,K288,P.S. 288 - BROOKLYN,BROOKLYN
"11,581",WOMEN IN INDUSTRIES,BAHNMULLER,WILLIAM,WOOD,01/01/1934 12:00:00 AM,,K655,BKLYN HS OF THE ARTS (OL S J HL)-K,BROOKLYN
"11,582","TRUTH, RESEARCH",ADAMS,HERBERT,PLASTER CAST,01/01/1896 12:00:00 AM,,K465,ERASMUS HALL CAMPUS - K,BROOKLYN
"11,583","""BABOON""",WOLFF,ADOLPH,CAST STONE,01/01/1937 12:00:00 AM,,K465,ERASMUS HALL CAMPUS - K,BROOKLYN
"11,584","""J. HERBERT LOW""",KANNO,GERTRUDE,BRONZE,01/01/1929 12:00:00 AM,,K465,ERASMUS HALL CAMPUS - K,BROOKLYN
"11,586",INDIAN CORN DANCE,BRENNECKE,MURIEL,"WOOD, CARVED",01/01/1939 12:00:00 AM,,K465,ERASMUS HALL CAMPUS - K,BROOKLYN
"11,587",UNTITLED,MILSTEIN,EMANUEL,GLASS,01/01/1982 12:00:00 AM,,K450,GRAND STREET CAMPUS (OLD E.D.HS)-K,BROOKLYN
"11,587",UNTITLED,MILSTEIN,EMANUEL,FIBERGLASS,01/01/1982 12:00:00 AM,,K450,GRAND STREET CAMPUS (OLD E.D.HS)-K,BROOKLYN
"11,588",UNTITLED,MILSTEIN,EMANUEL,FIBERGLASS,01/01/1982 12:00:00 AM,,K450,GRAND STREET CAMPUS (OLD E.D.HS)-K,BROOKLYN
"11,591","""UNTITLED""",SUGARMAN,GEORGE,"ALUMINUM, PAINTED, ENAMEL",01/01/1985 12:00:00 AM,,R004,P.S. 4 - STATEN ISLAND,STATEN ISLAND
"11,592",UNTITLED,BLAIR,BARRY,"STEEL, PAINTED",01/01/1985 12:00:00 AM,,R004,P.S. 4 - STATEN ISLAND,STATEN ISLAND
"11,593",LEWIS HOWARD LATIMER (1848-1928),HARDISON,INGE,CAST STONE,01/01/1967 12:00:00 AM,,K056,P.S. 56 - BROOKLYN,BROOKLYN
"11,594",ABSTRACTION,STEFANELLI,JOE,METAL PAINTED,01/01/1977 12:00:00 AM,,K324,I.S. 324 - BROOKLYN,BROOKLYN
"11,596",ADOLPH S. OCHS,MISERENDINO,VINCENZO,BRONZE,01/01/1933 12:00:00 AM,,M111,P.S. 111 - MANHATTAN,MANHATTAN
"11,597","""MINER""",ANONYMOUS,,"PLASTER, PAINTED",01/01/1937 12:00:00 AM,,K705,MIDWOOD HS ADDITION - BROOKLYN,BROOKLYN
"11,602",CREATIVITY,ESCOBAR,MARISOL,METAL PAINTED,01/01/1986 12:00:00 AM,,M485,FIORELLO LAGUARDIA HS - MANHATTAN,MANHATTAN
"11,602",CREATIVITY,ESCOBAR,MARISOL,GRANITE,01/01/1986 12:00:00 AM,,M485,FIORELLO LAGUARDIA HS - MANHATTAN,MANHATTAN
"11,602",CREATIVITY,ESCOBAR,MARISOL,BRONZE,01/01/1986 12:00:00 AM,,M485,FIORELLO LAGUARDIA HS - MANHATTAN,MANHATTAN
"11,603","""TOSCANINI""",RUOTOLO,ONORIO,BRONZE,01/01/1919 12:00:00 AM,,M485,FIORELLO LAGUARDIA HS - MANHATTAN,MANHATTAN
"11,605","""STRIKERS""",ANONYMOUS,,"PLASTER, PAINTED",01/01/1937 12:00:00 AM,,K410,ABRAHAM LINCOLN HS - K,BROOKLYN
"11,606","""STANDING CHILDREN""",NELSON,HELEN,"PLASTER, PAINTED",01/01/1937 12:00:00 AM,,K410,ABRAHAM LINCOLN HS - K,BROOKLYN
"11,607","""SEATED MAN HOLDING BOOK""",ANONYMOUS,,PLASTER,01/01/1937 12:00:00 AM,,K410,ABRAHAM LINCOLN HS - K,BROOKLYN
"11,608","""CAT""",ANONYMOUS,,"WOOD, CARVED",,,K410,ABRAHAM LINCOLN HS - K,BROOKLYN
"11,609","""CUBIST WOMAN""",ANONYMOUS,,LIMESTONE,,,K410,ABRAHAM LINCOLN HS - K,BROOKLYN
"11,610","""SEATED FIGURE""",ANONYMOUS,,WOOD,01/01/1937 12:00:00 AM,,K410,ABRAHAM LINCOLN HS - K,BROOKLYN
"11,611","""CHEERLEADER""",KAZ,NATHANEL,"WOOD, PAINTED",01/01/1942 12:00:00 AM,,K410,ABRAHAM LINCOLN HS - K,BROOKLYN
"11,612",VIEWS OF WASHINGTON MARKET THROUGH THE ...,DENNIS,DONNA,"TERRA COTTA, GLAZED",01/01/1986 12:00:00 AM,,M234,P.S. 234 - MANHATTAN,MANHATTAN
"11,613","""MENTAL, SPIRITUAL AND PHYSICAL ACTIVITIES""",PURVES,AUSTIN,"ALUMINUM, POLISHED",01/01/1959 12:00:00 AM,,M163,P.S. 163 - MANHATTAN,MANHATTAN
"11,615","""SOUTHERLAND TABLET""",KECK,CHARLES,"BRONZE, CAST",01/01/1917 12:00:00 AM,,M003,P.S. 3 - MANHATTAN,MANHATTAN
"11,616","""HARI IV """,BARRETT,WILLIAM,"ALUMINUM, POLISHED",01/01/1982 12:00:00 AM,,R435,NEW DORP HS (NEW) - S. I.,STATEN ISLAND
"11,617","""INDUSTRY ARTS SCIENCE COMMERCE""",ANONYMOUS,,CONCRETE,01/01/1929 12:00:00 AM,,X425,EVANDER CHILDS HS - X,BRONX
"11,618",ALMA MATER,KRAUS,ROMAULD,TERRA COTTA,,,X425,EVANDER CHILDS HS - X,BRONX
"11,619",UNTITLED,STEA,CESARE,"PLASTER, PAINTED",01/01/1937 12:00:00 AM,,X425,EVANDER CHILDS HS - X,BRONX
"11,620","""NEGRO COUPLE""",STEA,CESARE,"PLASTER, PAINTED",01/01/1936 12:00:00 AM,,X425,EVANDER CHILDS HS - X,BRONX
"11,621","""MUSIC AND ART""",ANONYMOUS,,PLASTER,01/01/1937 12:00:00 AM,,K216,P.S. 216 - BROOKLYN,BROOKLYN
"11,622","""THREE SEATED GIRLS"" ""DANCING GIRLS""",ANONYMOUS,,PLASTER,01/01/1937 12:00:00 AM,,K216,P.S. 216 - BROOKLYN,BROOKLYN
"11,623",HEAD OF A CHILD,MELIKOV,DINA,CAST STONE,01/01/1937 12:00:00 AM,,K216,P.S. 216 - BROOKLYN,BROOKLYN
"11,624","""UNTITLED""",ANONYMOUS,,BRONZE,01/01/1940 12:00:00 AM,,K615,E NY VOC HS OF TRANSIT TECH.-K,BROOKLYN
"11,625","""EDUCATION""",KECK,CHARLES,PLASTER,01/01/1921 12:00:00 AM,,K138,P.S. 138 - BROOKLYN,BROOKLYN
"11,626",BUST OF VITO MARCANTONIO,RHODEN,JOHN,"BRONZE, CAST",01/01/1975 12:00:00 AM,,M050,P.S. 50 (UDC & ECF) - MANHATTAN,MANHATTAN
"11,628","""SEAL OF THE CITY OF NEW YORK 1664""",JENNEWEIN,CARL,LIMESTONE,01/01/1956 12:00:00 AM,,M044,I.S. 44 - MANHATTAN,MANHATTAN
"11,629",ABSTRACTION,KORAS,GEORGE,"BRONZE, CAST",01/01/1976 12:00:00 AM,,M153,P.S. 153 - MANHATTAN,MANHATTAN
"11,630",UNTITLED,FONSECA,GONZALO,CONCRETE,01/01/1967 12:00:00 AM,,M046,P.S. 46 - MANHATTAN,MANHATTAN
"11,631","BUST OF JOHN BURROUGHS, 1837 - 1921",PIETRO,CARTAINO,BRONZE,,,M188,P.S. 188 - MANHATTAN,MANHATTAN
"11,632",GIRL READING,HENN,RUDOLF,STONE,01/01/1935 12:00:00 AM,,M189,P.S. 189 - MANHATTAN,MANHATTAN
"11,633","""UNTITLED""",VINES,,PLASTER,01/01/1946 12:00:00 AM,,Q801,OSSS / DSF - QUEENS,QUEENS
"11,635","""WILLIAM H. SEWARD""",NICOLOSI,JOSEPH,BRONZE,01/01/1931 12:00:00 AM,,M445,SEWARD PARK HS - MANHATTAN,MANHATTAN
"11,636",MAGIC SEEDS,MARGILETH,LYNN,STEEL,01/01/1991 12:00:00 AM,,X121,P.S. 121 - BRONX,BRONX
"11,636",MAGIC SEEDS,MARGILETH,LYNN,WOOD,01/01/1991 12:00:00 AM,,X121,P.S. 121 - BRONX,BRONX
"11,636",MAGIC SEEDS,MARGILETH,LYNN,PLEXIGLASS,01/01/1991 12:00:00 AM,,X121,P.S. 121 - BRONX,BRONX
"11,637",ABSTRACT,WILLIAMS,TODD,"STEEL, PAINTED",01/01/1973 12:00:00 AM,,X167,P.S. 214 - BRONX,BRONX
"11,639",HISTORY OF SCIENCE AND LANGUAGE,HASTINGS,JACK,BRONZE,,,Q425,JOHN BOWNE HS - QUEENS,QUEENS
"11,641","""GETTYSBURG ADDRESS""",BRENNER,VICTOR,BRONZE,,,Q092,P.S. 92 - QUEENS,QUEENS
